
활성 연결

  프로토콜  로컬 주소              외부 주소              상태            PID
  TCP    127.0.0.1:52821        127.0.0.1:1521         ESTABLISHED     8996
  TCP    127.0.0.1:58407        127.0.0.1:58408        ESTABLISHED     10692
  TCP    127.0.0.1:58408        127.0.0.1:58407        ESTABLISHED     10692
  TCP    127.0.0.1:58418        127.0.0.1:1521         ESTABLISHED     10692
  TCP    127.0.0.1:58430        127.0.0.1:1521         ESTABLISHED     10692
  TCP    127.0.0.1:58433        127.0.0.1:1521         ESTABLISHED     10692
  TCP    127.0.0.1:58440        127.0.0.1:1521         ESTABLISHED     10692
  TCP    127.0.0.1:58442        0.0.0.0:0              LISTENING       22656
  TCP    127.0.0.1:58679        127.0.0.1:58680        ESTABLISHED     29340
  TCP    127.0.0.1:58680        127.0.0.1:58679        ESTABLISHED     29340
  TCP    127.0.0.1:58681        127.0.0.1:58682        ESTABLISHED     29340
  TCP    127.0.0.1:58682        127.0.0.1:58681        ESTABLISHED     29340
  TCP    127.0.0.1:58758        127.0.0.1:58761        FIN_WAIT_2      26932
  TCP    127.0.0.1:58758        127.0.0.1:58764        FIN_WAIT_2      26932
  TCP    127.0.0.1:58761        127.0.0.1:58758        CLOSE_WAIT      32752
  TCP    127.0.0.1:58764        127.0.0.1:58758        CLOSE_WAIT      32752
  TCP    127.0.0.1:59108        127.0.0.1:59111        FIN_WAIT_2      32524
  TCP    127.0.0.1:59108        127.0.0.1:59114        FIN_WAIT_2      32524
  TCP    127.0.0.1:59111        127.0.0.1:59108        CLOSE_WAIT      26156
  TCP    127.0.0.1:59114        127.0.0.1:59108        CLOSE_WAIT      26156
  TCP    127.0.0.1:59270        127.0.0.1:45275        TIME_WAIT       0
  TCP    127.0.0.1:59351        127.0.0.1:31877        ESTABLISHED     29340
  TCP    127.0.0.1:59431        127.0.0.1:12517        ESTABLISHED     29340
  TCP    127.0.0.1:59432        127.0.0.1:59435        TIME_WAIT       0
  TCP    127.0.0.1:59432        127.0.0.1:59440        TIME_WAIT       0
  TCP    127.0.0.1:59438        127.0.0.1:59432        TIME_WAIT       0
  TCP    192.168.79.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.217.1:139      0.0.0.0:0              LISTENING       4
  TCP    210.92.231.29:139      0.0.0.0:0              LISTENING       4
  TCP    210.92.231.29:58470    52.139.250.253:443     ESTABLISHED     4888
  TCP    210.92.231.29:58472    52.139.250.253:443     ESTABLISHED     4888
  TCP    210.92.231.29:59138    52.86.91.245:443       TIME_WAIT       0
  TCP    210.92.231.29:59416    58.151.219.208:80      TIME_WAIT       0
  TCP    210.92.231.29:59439    172.217.24.77:443      TIME_WAIT       0
  TCP    210.92.231.29:59441    216.58.200.67:443      TIME_WAIT       0
  TCP    210.92.231.29:59442    172.217.26.131:443     TIME_WAIT       0
  TCP    210.92.231.29:59443    172.217.26.142:443     TIME_WAIT       0
  TCP    210.92.231.29:59444    172.217.161.163:443    TIME_WAIT       0
  TCP    210.92.231.29:59445    216.58.199.14:443      TIME_WAIT       0
  TCP    210.92.231.29:59446    216.58.199.100:443     TIME_WAIT       0
  TCP    210.92.231.29:59450    172.217.31.234:443     TIME_WAIT       0
  TCP    210.92.231.29:59451    216.58.199.14:443      TIME_WAIT       0
  TCP    210.92.231.29:59452    216.58.220.193:443     TIME_WAIT       0
  TCP    210.92.231.29:59456    172.217.161.163:443    TIME_WAIT       0
  TCP    210.92.231.29:59457    172.217.174.206:80     TIME_WAIT       0
  TCP    210.92.231.29:59459    216.58.200.67:443      TIME_WAIT       0
  TCP    210.92.231.29:59462    203.248.210.13:80      TIME_WAIT       0
  TCP    210.92.231.29:59463    203.252.15.179:80      TIME_WAIT       0
  TCP    210.92.231.29:59466    58.151.219.142:80      TIME_WAIT       0
  TCP    210.92.231.29:59467    216.58.200.67:443      TIME_WAIT       0
  TCP    210.92.231.29:59468    216.58.200.78:443      TIME_WAIT       0
  TCP    210.92.231.29:59469    172.217.25.3:443       TIME_WAIT       0
  TCP    210.92.231.29:59470    216.239.32.116:443     TIME_WAIT       0
  TCP    210.92.231.29:59471    172.217.24.78:443      TIME_WAIT       0
  TCP    210.92.231.29:59472    172.217.31.238:443     TIME_WAIT       0
  TCP    210.92.231.29:59473    172.217.25.10:443      TIME_WAIT       0
  TCP    210.92.231.29:59474    172.217.161.163:443    TIME_WAIT       0
  TCP    210.92.231.29:59475    74.125.203.155:443     TIME_WAIT       0
  TCP    210.92.231.29:59476    172.217.26.131:443     TIME_WAIT       0
  TCP    210.92.231.29:59477    203.233.96.48:80       TIME_WAIT       0
  TCP    210.92.231.29:59478    216.58.220.193:443     TIME_WAIT       0
  TCP    210.92.231.29:59483    216.58.200.1:443       TIME_WAIT       0
  TCP    210.92.231.29:59486    216.58.200.1:443       TIME_WAIT       0
  TCP    210.92.231.29:59487    216.58.220.193:443     TIME_WAIT       0
  TCP    210.92.231.29:59489    203.233.92.143:80      TIME_WAIT       0
  TCP    210.92.231.29:59490    58.151.219.208:80      TIME_WAIT       0
  TCP    210.92.231.29:59494    58.151.219.145:80      TIME_WAIT       0
  TCP    210.92.231.29:59495    172.217.24.77:443      TIME_WAIT       0
  TCP    210.92.231.29:59513    106.241.47.251:8443    ESTABLISHED     22744
  TCP    210.92.231.29:59514    106.241.47.251:8443    ESTABLISHED     22744
  TCP    210.92.231.29:59515    106.241.47.251:8443    ESTABLISHED     22744
  TCP    210.92.231.29:59516    106.241.47.251:8443    ESTABLISHED     22744
  TCP    210.92.231.29:59517    106.241.47.251:8443    ESTABLISHED     22744
  TCP    210.92.231.29:59518    106.241.47.251:8443    ESTABLISHED     22744
  TCP    [::]:135               [::]:0                 LISTENING       1292
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:2179              [::]:0                 LISTENING       5572
  TCP    [::]:3306              [::]:0                 LISTENING       4840
  TCP    [::]:3389              [::]:0                 LISTENING       1684
  TCP    [::]:3938              [::]:0                 LISTENING       8996
  TCP    [::]:5520              [::]:0                 LISTENING       10692
  TCP    [::]:8080              [::]:0                 LISTENING       4688
  TCP    [::]:30403             [::]:0                 LISTENING       4752
  TCP    [::]:30409             [::]:0                 LISTENING       4728
  TCP    [::]:30419             [::]:0                 LISTENING       4728
  TCP    [::]:45111             [::]:0                 LISTENING       29340
  TCP    [::]:49664             [::]:0                 LISTENING       1016
  TCP    [::]:49665             [::]:0                 LISTENING       1904
  TCP    [::]:49666             [::]:0                 LISTENING       2700
  TCP    [::]:49667             [::]:0                 LISTENING       2936
  TCP    [::]:49668             [::]:0                 LISTENING       3928
  TCP    [::]:49671             [::]:0                 LISTENING       4148
  TCP    [::]:49673             [::]:0                 LISTENING       4760
  TCP    [::]:49740             [::]:0                 LISTENING       1040
  TCP    [::]:49789             [::]:0                 LISTENING       756
  TCP    [::1]:9291             [::]:0                 LISTENING       26156
  TCP    [::1]:12517            [::]:0                 LISTENING       32408
  TCP    [::1]:16617            [::]:0                 LISTENING       2980
  TCP    [::1]:19507            [::]:0                 LISTENING       26396
  TCP    [::1]:31877            [::]:0                 LISTENING       32772
  TCP    [::1]:41130            [::]:0                 LISTENING       1704
  TCP    [::1]:45275            [::]:0                 LISTENING       23228
  TCP    [::1]:48870            [::]:0                 LISTENING       32752
  TCP    [::1]:49152            [::]:0                 LISTENING       4832
  TCP    [::1]:49944            [::]:0                 LISTENING       20092
  TCP    [::1]:59158            [::1]:45111            TIME_WAIT       0
  UDP    0.0.0.0:53             *:*                                    8408
  UDP    0.0.0.0:500            *:*                                    4140
  UDP    0.0.0.0:3389           *:*                                    1684
  UDP    0.0.0.0:4500           *:*                                    4140
  UDP    0.0.0.0:5050           *:*                                    12472
  UDP    0.0.0.0:5353           *:*                                    3200
  UDP    0.0.0.0:5355           *:*                                    3200
